Year,Institution number,Institution Name,Institution type,Region,Member year,Canadian dollar exchange rate,Rank in ARL investment index,ARL investment index value,Rank in ARL membership index,ARL membership index value,Volumes held,"Volumes added, gross","Volumes added, net",Volumes withdrawn,Monographs purchased,Current serials purchased,Current serials not purchased,Total current serials,Microforms,Government documents,Manuscripts and archives,Cartographic materials,Graphic materials,Sound recordings,Video and film,Computer files,Total interlibrary lending,Total interlibrary borrowing,Group presentations,Presentation participants,Reference queries,Initial circulation,Total circulation,Reserve circulation,Annual gate count,Professional staff,Support staff,Student assistants,Total prof. + support staff,Total prof. + support + student staff,Expenditures for monographs,Expenditures for serials,Expenditures for other materials,Misc. materials expenditures,Total materials expenditures,Expenditures for binding,Professional salaries & wages,Support staff salaries & wages,Student assistant wages,Total salaries & wages,Other operating expenditures,Total library expenditures,Total fulltime students,"Part-time students, undergraduate and graduate",Total fulltime graduate students,Part-time graduate students,Doctor's degrees awarded,Doctor's degree fields,Total teaching faculty,Expenditures for computer files,Expenditures for electronic serials,Total electronic resources expenditures,"Library expenditures for bibliographic utilities, networks, etc.","External expenditures for bibliographic utilities, networks, etc.",Expenditures for computer hardware and software,Expenditures for document delivery and interlibrary loans,Staffed service points,Library service hours,Titles held,Total university expenditures,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe benefits, dollar amount","Fringe benefits, official designated percent",Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases)
2016,1050,"CALIFORNIA, IRVINE",State,Pacific,1981,1,77,-0.533650004,.,.,3762070,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12971,13799,817,16711,19481,68434,.,.,1767316,55,105,28,160,188,.,.,.,.,8977308,.,5095505,5379790,506732,10982027,1648397,21607732,29904,932,5053,527,619,52,1203,.,.,.,.,1006145,.,.,.,.,3337523,2760415000,1201861,1363154,7393237,220917,4600822,.,.,.,.
2016,1100,"CALIFORNIA, LOS ANGELES",State,Pacific,1937,1,10,1.448837686,.,.,12421635,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30820,34768,2223,31768,39871,492377,.,.,3504153,180,223,146,403,549,.,.,.,.,16035360,.,14735512,11444828,3114583,29294923,12784655,58114938,41922,1379,12918,798,744,77,2657,.,.,.,.,1726431,.,.,.,.,13812990,7196367067,2107192,4726639,10476320,832401,10912899,.,9575123,11771789,333461
2016,1200,"CALIFORNIA, RIVERSIDE",State,Pacific,1979,1,108,-1.005982886,.,.,3878566,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12465,12133,510,13068,7402,65918,.,.,1370487,36,57,48,93,141,.,.,.,.,5067218,.,3895938,2402427,640624,6938989,1487342,13493549,21034,470,2755,141,239,41,844,.,.,.,.,690216,.,.,.,.,2973038,855432956,938175,700350,4077272,289596,2901155,34,1981278,8893502,.
2016,1300,"CALIFORNIA, SAN DIEGO",State,Pacific,1973,1,38,0.045071825,.,.,4395656,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16590,15802,538,25665,27993,129852,.,.,1706792,127,123,57,250,307,.,.,.,.,10067069,.,8831464,5449355,1230096,15510915,6817090,32395074,31615,481,5420,86,507,73,1056,.,.,.,.,1075792,.,.,.,.,2923233,4344821104,1196986,2550372,7516697,0,8098514,52,.,.,.
2016,1400,"CALIFORNIA, SANTA BARBARA",State,Pacific,1973,1,92,-0.668651548,.,.,3206594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12657,29227,381,6298,23169,100428,.,.,1982961,46,131,39,177,216,.,.,.,.,5812069,.,4040168,4807769,732481,9580418,4912911,20305398,20243,364,2886,4,349,46,1089,.,.,.,.,749307,.,.,.,.,8147213,984450000,781751,1499214,4312855,.,3966918,51.3,.,.,.
2016,1500,CASE WESTERN RESERVE,Private,East North Central,1969,1,103,-0.895427288,.,.,3398803,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26919,17480,311,5060,5832,73955,.,.,475976,58,32,31,90,121,.,.,.,.,7487844,.,3990333,1091084,583068,5664485,1691181,14843510,10210,1130,5191,1028,641,59,665,.,.,.,.,258573,.,.,.,.,2772489,915644304,739923,1216964,6090918,179962,1489314,30.5,1577894,1684191,.
2016,1600,CHICAGO,Private,East North Central,1932,1,28,0.385864281,.,.,11253997,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55016,47237,563,9025,14251,202545,.,.,1394011,74,151,30,225,255,.,.,.,.,20033015,.,5747781,6444395,1003289,13195465,3269954,36498434,13111,2453,7233,2380,691,70,2089,.,.,.,.,250000,.,.,.,.,7408866,3486828762,1507841,5684865,13812180,535970,3531089,29.8,8034486,1602067,46207437
2016,1700,CINCINNATI,State,East North Central,1932,1,73,-0.493934665,.,.,4250400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28160,20454,1085,25079,41617,117075,.,.,1766228,92,37,38,129,167,.,.,.,.,10524251,.,6266493,1546373,818573,8631439,2348917,21504607,31592,12659,5503,5530,760,78,2117,.,.,.,.,899278,.,.,.,.,3713404,1086625756,1566040,1621159,8770734,132358,3217414,35.8,2120290,5433575,0
2016,1800,COLORADO,State,Mountain,1964,1,66,-0.447852967,.,.,6944994,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91929,39899,915,19558,30473,222169,.,.,1945227,79,86,49,165,214,.,.,.,.,11721745,.,4535193,3613926,1059822,9208941,1555734,22486420,27494,5562,2435,3479,600,59,1498,.,.,.,.,11933,.,.,.,.,5538607,1401551480,640630,2346077,8757987,617681,2758501,30,3552706,1112306,8941855
2016,1900,COLORADO STATE,State,Mountain,1975,1,93,-0.67848834,.,.,2384063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72456,35124,627,15786,48576,64898,.,.,1544100,77,73,43,150,193,.,.,.,.,8481464,.,4443978,2667715,634201,7745894,2690553,18917911,23917,7755,3148,4607,379,46,1471,.,.,.,.,76130,.,.,.,.,2010070,1049133332,537992,916128,6927453,637883,2751922,25,2922319,1320044,21720
2016,2000,COLUMBIA,Private,Middle Atlantic,1932,1,4,2.358120622,.,.,13594821,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53693,56531,1304,18935,118145,273014,.,.,5091637,290,186,80,476,556,.,.,.,.,32034983,.,22163447,7321842,1653357,31138646,5748395,68922024,27775,7937,17716,7358,1384,226,2332,.,.,.,.,.,.,.,.,.,9568363,4044402000,2351054,9802202,18791853,3440928,9378964,30.5,8298151,36591876,815067
2016,2100,CONNECTICUT,State,New England,1962,1,65,-0.443626072,.,.,3717015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32995,43824,817,12547,11957,94680,.,.,1770326,68,48,41,116,157,.,.,.,.,10414130,.,6037074,4261714,758375,11057163,1207638,22678931,28038,3586,5802,2415,756,83,2017,.,.,.,.,1577403,.,.,.,.,2519828,2346027198,879693,366663,9190984,856483,6051601,65.3,6292275,6265493,1032876
2016,2200,CORNELL,Private,Middle Atlantic,1932,1,11,1.36531761,.,.,9575046,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51931,47111,1484,24070,54598,214143,.,.,3906715,202,176,53,378,431,.,.,.,.,21562802,.,15607939,8057935,870705,24536579,7793925,53893306,22853,87,8550,75,941,111,3349,.,.,.,.,.,.,.,.,.,7571682,2154076702,1488140,.,.,.,6698151,34.9,5265604,.,.
2016,2300,DARTMOUTH,Private,New England,1932,1,71,-0.48605908,.,.,3486587,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47698,26169,958,10542,13823,177117,.,.,1600000,69,99,27,168,195,.,.,.,.,10794655,.,5053634,3740801,485445,9279880,1827659,21902194,6236,114,1969,74,172,19,853,.,.,.,.,.,.,.,.,.,3029406,934979645,856269,1688277,8870449,235929,2638427,30,1565119,6969576,199
2016,2350,DELAWARE,State,South Atlantic,1983,1,69,-0.471285573,.,.,3245248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26277,17015,652,13968,78670,100609,.,.,987889,60,77,19,137,156,.,.,.,.,11891186,.,4924106,2892050,292626,8108782,1813526,21813494,20553,2290,3006,746,315,61,1181,.,.,.,.,.,.,.,.,.,2445909,949916692,451941,3251212,8190518,449456,3847485,39.5,.,953720,804497
2016,2400,DUKE,Private,South Atlantic,1932,1,17,0.941479267,.,.,8047108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36472,29985,1222,18999,31170,329078,.,.,.,206,96,27,302,329,.,.,.,.,22215462,.,13393698,4193014,471726,18058438,4993878,45267778,15183,801,8572,773,801,59,1249,.,.,.,.,.,.,.,.,.,6348148,5451195000,2164736,8325559,13534957,354946,4376806,25.6,.,.,.
2016,2500,EMORY,Private,South Atlantic,1975,1,19,0.899945246,.,.,4490527,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27130,10470,1480,26145,27447,193931,.,.,1712888,196,80,73,276,349,.,.,.,.,19572442,.,14574283,3013164,1101934,18689381,6851697,45113520,13315,1409,5632,1289,737,38,2136,.,.,.,.,212553,.,.,.,.,3775321,4674042000,943697,6069092,13483425,19925,4617192,26.25,666301,3955289,.
2016,2600,FLORIDA,State,South Atlantic,1956,1,39,0.04487789,.,.,5765255,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18713,26786,1099,20836,18648,170601,.,.,2964093,101,179,51,280,331,.,.,.,.,13762452,.,6315540,6770355,659657,13745552,4109444,31617448,43386,9800,12479,4764,1915,88,3543,.,.,.,.,603162,.,.,.,.,5372199,2736255000,1432099,1245557,12017699,499196,4157140,26,4910328,10397653,.
2016,2700,FLORIDA STATE,State,South Atlantic,1962,1,80,-0.545952833,.,.,3939917,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17347,12657,1030,21340,59012,102375,.,.,2029817,102,69,67,171,238,.,.,.,.,10410115,.,5724348,2025690,1184534,8934572,1254386,20599073,35389,6084,5913,1906,715,84,1806,.,.,.,.,146229,.,.,.,.,3434345,1119618269,1609376,875034,9399030,136051,2544952,29,2041442,9046548,82643
2016,2750,GEORGE WASHINGTON,Private,South Atlantic,1998,1,36,0.081323008,.,.,3282312,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21152,48528,2397,34265,22894,104250,.,.,2345092,75,192,106,267,373,.,.,.,.,11979308,.,6489854,9527376,672626,16689856,4384297,33053461,17689,7747,7514,6681,1105,53,1251,.,.,.,.,.,.,.,.,.,2968365,1247717000,1368704,1796305,8201786,1981217,4049928,25,3387816,3499590,243072
2016,2800,GEORGETOWN,Private,South Atlantic,1962,1,45,-0.116094432,.,.,4866080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34896,27255,3066,26334,55034,211464,.,.,1791744,96,93,40,189,229,.,.,.,.,12643534,.,7446931,4335865,691246,12474042,3219116,28336692,14723,3736,7548,3349,975,28,1004,.,.,.,.,8815,.,.,.,.,4287034,1412062000,1937611,2811136,9613522,218876,4348417,37,3354579,1899787,45512
2016,2900,GEORGIA,State,South Atlantic,1967,1,51,-0.196250206,.,.,5241217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28427,10313,2139,51273,38667,175966,.,.,2876817,83,161,47,244,291,.,.,.,.,13376678,.,5213122,5490929,712645,11416696,2175359,26968733,33129,3589,7223,1948,967,28,1908,.,.,.,.,.,.,.,.,.,4321443,1399477283,677447,2083114,10528461,765103,3363516,.,3835250,9276897,1883576
2016,2950,GEORGIA TECH,State,South Atlantic,1983,1,99,-0.764434448,.,.,1542955,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11471,12074,197,4579,6490,80938,.,.,1297626,52,59,3,111,114,.,.,.,.,9044584,.,3478323,1780003,66968,5325294,2771148,17141026,19541,5493,5873,4019,526,37,1076,.,.,.,.,.,.,.,.,.,1410804,1454392243,632230,359831,8684753,0,1590931,.,.,.,.
2016,3000,GUELPH,Canadian,Canada,1979,1.327,110,-1.025869418,.,.,2260320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18354,12962,2112,37461,22904,54759,.,.,1346072,53,56,13,109,122,.,.,.,.,6214567.45,.,3720922.38,1851565.94,192704.6,5765192.92,682882.44,12662642.8,20771,1877,2074,181,170,.,800,.,.,.,.,.,.,.,.,.,2032273,.,624140,771520.72,4730189.15,712857.57,1624017.33,28.2,3324966,.,.
2016,3100,HARVARD,Private,New England,1932,1,1,5.254445087,.,.,20870706,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52517,65583,2045,23292,102347,589479,.,.,.,432,303,.,735,735,.,.,.,.,48125422,.,37446389,16883602,3637876,57967867,13520915,119614204,20567,9072,13400,6089,1511,123,2075,.,.,.,.,1838615,.,.,.,.,14852253,4700225000,1375233,15278570,21477826,11369026,24939571,34,10780584,4929172,117461
2016,3200,HAWAII,State,Pacific,1976,1,81,-0.569603386,.,.,3577546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9270,23852,693,8084,15137,98997,.,.,1526960,89,65,41,154,195,.,.,.,.,9238600,.,6631116,2509395,902679,10043190,1030754,20312544,14915,4698,3505,2469,441,64,1664,.,.,.,.,.,.,.,.,.,2836942,1034575134,699952,874340,8005798,358462,2693368,50.79,2362484,3673687,18484
2016,3300,HOUSTON,State,West South Central,1975,1,61,-0.404847951,.,.,3829383,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29688,20251,1085,18196,38651,83578,.,.,2160984,79,61,42,140,182,.,.,.,.,12299500,.,5502984,2183761,773032,8459777,2137606,22896883,30781,11923,5872,2116,760,47,1501,.,.,.,.,.,.,.,.,.,2834701,1038205913,807736,979085,10090582,1229833,2218626,30,1703546,3820202,1087130
2016,3400,HOWARD,Private,South Atlantic,1971,1,114,-1.294239021,.,.,2809914,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2454,940,406,8665,46027,39952,.,.,150880,24,39,17,63,80,.,.,.,.,4072356,.,1920094,2062540,128160,4110794,150000,8333150,15806,4882,4608,1812,258,38,1035,.,.,.,.,20167,.,.,.,.,1430058,771456000,564402,404328,3510566,157462,1073195,29.1,159673,1642753,0
2016,3490,"ILLINOIS, CHICAGO",State,East North Central,1988,1,94,-0.680337705,.,.,2267812,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52083,37518,874,14342,30154,191609,.,.,2427235,65,77,33,142,175,.,.,.,.,8464529,.,4415191,3554275,691253,8660719,1768269,18893517,17575,0,11473,0,1051,58,1941,.,.,.,.,.,.,.,.,.,2678858,2854721015,532379,1132311,7327930,4288,3206116,40,3467361,7756552,2499
2016,3500,"ILLINOIS, URBANA",State,East North Central,1932,1,15,0.98038069,.,.,14569260,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79479,53332,1785,30190,79346,390834,.,.,6181838,190,177,91,367,458,.,.,.,.,19172663,.,13405693,7787404,2562513,23755610,4376050,47304323,41756,4086,9767,2707,1015,92,2278,.,.,.,.,.,.,.,.,.,8857980,2591165545,1229958,3279316,15096401,796946,9029682,44.77,9467411,35197897,0
2016,3600,INDIANA,State,East North Central,1932,1,24,0.646272818,.,.,10369750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36680,27041,926,13368,25369,335236,.,.,3465690,169,140,97,309,406,.,.,.,.,18584221,.,10474456,3767039,1896026,16137521,6554811,41276553,37750,4838,6191,3703,793,91,2059,.,.,.,.,229540,.,.,.,.,7784339,1537007047,2104290,6909763,10926407,748051,5598666,39.1,4145241,.,.
2016,3700,IOWA,State,West North Central,1932,1,30,0.32228067,.,.,7799303,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42106,20094,1106,18601,43631,145281,.,.,2294284,116,84,42,200,242,.,.,.,.,19827622,.,7441330,4253654,799519,12494503,2437813,34759938,24620,6224,4709,2778,369,76,1431,.,.,.,.,.,.,.,.,.,5818670,3112120000,1896951,3165384,15886377,775861,4500895,36,2561434,6378428,0
2016,3800,IOWA STATE,State,West North Central,1932,1,74,-0.4987034,.,.,2930438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23398,10198,506,16188,12078,79194,.,.,2149440,50,69,23,119,142,.,.,.,.,12883873,.,3286455,3401952,373313,7061720,1347569,21293162,31701,4013,3499,2181,322,82,1587,.,.,.,.,.,.,.,.,.,2707060,1198261445,457967,1230649,11462490,190734,2533084,.,357552,1056607,1422864
2016,3900,JOHNS HOPKINS,Private,South Atlantic,1932,1,22,0.728617862,.,.,4905903,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54949,46051,622,12232,21523,141266,.,.,1826300,128,101,33,229,262,.,.,.,.,20223320,.,10628281,2686209,655606,13970096,8130755,42324171,14192,8881,7718,7963,528,55,1270,.,.,.,.,183453,.,.,.,.,4001194,5332285000,1526121,2801064,17081798,340458,4551281,34.5,7481143,7954600,50128128
2016,4100,KANSAS,State,West North Central,1932,1,86,-0.590921184,.,.,4664212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30763,16578,875,14425,21239,143463,.,.,1583157,58,115,52,173,225,.,.,.,.,9752144,.,4023706,3885318,777200,8686224,1945309,20383677,23408,4232,6217,2178,792,95,2202,.,.,.,.,.,.,.,.,.,4974809,1191336641,988900,1823741,7583406,344997,2837992,32,2896719,1936891,93899
2016,4200,KENT STATE,State,East North Central,1974,1,112,-1.062031847,.,.,3402324,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5647,8941,657,13813,23877,230116,.,.,1200000,60,19,30,79,109,.,.,.,.,5711162,.,3968353,750461,591986,5310800,1006213,12028175,30365,10640,3783,2731,159,49,1325,.,.,.,.,733618,.,.,.,.,2873125,585708136,1073163,737010,4376593,597559,1716246,37.6,1332403,4837153,805973
2016,4300,KENTUCKY,State,East South Central,1952,1,60,-0.373944466,.,.,4834750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20233,15961,893,16641,19168,103061,.,.,1323944,103,85,45,188,233,.,.,.,.,10722135,.,6758827,2406153,474487,9639467,3469644,23831246,26944,2783,5745,1277,863,78,1397,.,.,.,.,.,.,.,.,.,4142508,2934861722,1746943,1263605,8664078,794452,2961641,27,3295280,1606224,110885
2016,4350,LAVAL,Canadian,Canada,1985,1.327,97,-0.717826621,.,.,3275509,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15306,5980,540,15136,28301,266579,.,.,802939,67,124,.,191,191,.,.,.,.,9133073.1,.,3827183.87,4508726.45,0,8335910.32,527122.08,17996105.5,31065,12918,7311,3532,737,85,1571,.,.,.,.,.,.,.,.,.,2235128,.,300979,1162568.2,7653339.11,317165.79,1906015.83,25.17,2878991,3627389,0
2016,4400,LOUISIANA STATE,State,West South Central,1938,1,106,-0.955445021,.,.,5269283,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14954,15793,753,19905,14462,55280,.,.,1270155,51,54,29,105,134,.,.,.,.,7248927,.,3232804,1650157,439985,5322946,1306539,13878412,28818,3694,4157,923,606,48,1400,.,.,.,.,117405,.,.,.,.,5855226,1119599268,1209987,452507,6644890,151530,1921068,42,1585925,2381337,21272
2016,4420,LOUISVILLE,State,East South Central,2002,1,95,-0.70526102,.,.,2591559,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15296,21631,1063,24156,32181,80608,.,.,2446786,47,64,19,111,130,.,.,.,.,10250633,.,4194794,1374263,325647,5894704,1568054,17713391,17125,5242,3889,1637,567,37,824,.,.,.,.,.,.,.,.,.,1929675,1020626000,158901,1491645,8471651,287337,1852400,28.5,1304992,959482,0
2016,4500,MCGILL,Canadian,Canada,1932,1.327,42,-0.037550616,.,.,6309565,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11201,15094,579,18720,67662,206973,.,.,2392565,86,76,16,162,178,.,.,.,.,16740993.22,.,5792926.15,2997911.08,292955.54,9083792.77,3001822.91,28826608.89,32605,7383,9356,2059,960,97,3423,.,.,.,.,.,.,.,.,.,4967770,.,2156071,4304489.83,12077159.01,359344.39,1754423.51,28,4356740,2844843,0
2016,4600,MCMASTER,Canadian,Canada,1976,1.327,102,-0.851314442,.,.,2279583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9633,7859,303,11361,15421,88645,.,.,2535778,52,65,19,117,136,.,.,.,.,8709884.7,.,3053208.74,2528766.39,269760.36,5851735.49,990406.18,15552026.38,27987,1878,3514,760,254,50,956,.,.,.,.,1725.7,.,.,.,.,2049397,.,588557,821880.93,7392177.09,495826.68,1643603.62,29,.,.,.
2016,4650,MANITOBA,Canadian,Canada,1981,1.327,85,-0.587403836,.,.,3455397,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7104,6310,1136,15809,95630,152320,.,.,1654193,61,119,.,180,180,.,.,.,.,9842398.64,.,4618387.34,3638593.07,348326.3,8605306.71,1808413.72,20256119.07,23946,5071,3057,662,143,49,1197,.,.,.,.,.,.,.,.,.,1547894,.,1478247,1759186.13,7558111.53,525100.98,1783547.1,22.15,2862412,1959624,16457
2016,4700,MARYLAND,State,South Atlantic,1962,1,44,-0.072477549,.,.,4750659,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24188,38146,750,17026,11673,125398,.,.,1974883,136,64,46,200,246,.,.,.,.,12265789,.,9004213,2696053,845103,12545369,4166015,28977173,33501,4639,8091,2606,628,83,3482,.,.,.,.,884936,.,.,.,.,4335420,1819935265,1262265,1156505,10403275,706009,4000581,.,7823975,21216820,432481156
2016,4800,MASSACHUSETTS,State,New England,1968,1,87,-0.597131307,.,.,4409021,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25143,33495,335,7159,10882,105963,.,.,1519342,59,62,39,121,160,.,.,.,.,8313994,.,5472493,3076893,965565,9514951,2592999,20421944,23339,5930,2241,4280,337,47,1324,.,.,.,.,75000,.,.,.,.,3568559,1134000000,1673463,1033126,6973521,307347,3017191,31.71,2473224,.,0
2016,4900,MIT,Private,New England,1932,1,53,-0.297454083,.,.,3043733,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24165,22349,383,10148,18728,90100,.,.,545062,91,66,15,157,172,.,.,.,.,10774136,.,7943633,2720714,465537,11129884,3196806,25100826,11181,150,6689,115,646,36,1008,.,.,.,.,.,.,.,.,.,2371586,3349899000,698043,1267155,9024897,482084,2450090,23,5730856,7130248,17692444
2016,5000,MIAMI,Private,South Atlantic,1976,1,46,-0.126754527,.,.,3746951,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23721,8364,892,14503,35594,101095,.,.,1620710,89,95,45,184,229,.,.,.,.,13761290,.,6328406,3148008,402940,9879354,4335976,27976620,15413,1434,4932,793,799,63,1131,.,.,.,.,.,.,.,.,.,3310715,2833402151,910300,2383866,11098971,278453,2924161,27,2276189,735986,930950
2016,5100,MICHIGAN,State,East North Central,1932,1,3,2.457062798,.,.,14194430,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52547,50410,1534,34717,85535,548887,.,.,4320251,205,340,114,545,659,.,.,.,.,27118176,.,16005871,16978246,1962153,34946270,12637975,74702421,41114,2537,13856,1483,1530,123,4506,.,.,.,.,8922,.,.,.,.,9197263,6958962000,3288474,8268445,16971662,1878069,10275433,32,11006988,32069671,153322
2016,5200,MICHIGAN STATE,State,East North Central,1956,1,29,0.330969019,.,.,7261157,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71514,17646,949,33506,36115,173391,.,.,2056531,91,127,68,218,286,.,.,.,.,18300088,.,7071698,5979910,919287,13970895,3386462,35657445,44904,6544,9259,3046,1448,89,2829,.,.,.,.,.,.,.,.,.,7800120,2335391019,2034346,4627991,13463614,208483,.,30,5012874,4402889,.
2016,5300,MINNESOTA,State,West North Central,1932,1,21,0.787489731,.,.,7393465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132072,42050,1363,30637,30005,231167,.,.,1735236,123,130,67,253,320,.,.,.,.,20364809,.,9947159,7224869,1364245,18536273,4804540,43705622,38869,11809,9701,6906,1823,121,2589,.,.,.,.,565048,.,.,.,.,4864486,3082281536,1043602,5382898,14178304,803607,5341484,34,9077254,7756517,6205083
2016,5400,MISSOURI,State,West North Central,1932,1,96,-0.716732337,.,.,4514885,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43321,36420,947,13473,13394,90211,.,.,1670027,51,87,35,138,173,.,.,.,.,8614783,.,3132897,3374061,510481,7017439,2787968,18420190,30991,4457,4971,2672,781,64,1239,.,.,.,.,2292875,.,.,.,.,3597898,2172422477,1142548,1575467,6704709,334607,2208099,35.37,3111176,3728524,.
2016,5500,NEBRASKA,State,West North Central,1932,1,98,-0.72544134,.,.,3801630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32077,24569,389,10014,20983,90474,.,.,760376,46,94,38,140,178,.,.,.,.,8907856,.,3600582,3275075,738584,7614241,1465851,17987948,21466,3796,2649,2431,449,44,1288,.,.,.,.,.,.,.,.,.,2659024,1017842976,846323,662586,8245270,.,1823040,28,1179687,3303662,8793567
2016,5600,NEW MEXICO,State,Mountain,1979,1,67,-0.460231426,.,.,2429330,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,206688,30500,1124,18232,17055,114976,.,.,1780921,60,98,51,158,209,.,.,.,.,9462959,.,4096015,4848216,669271,9613502,4172466,23248927,20252,7711,3897,3274,558,50,1102,.,.,.,.,2359653,.,.,.,.,3392602,2071347044,783778,2030228,6301951,1130780,2369962,29,2774763,9539733,4873334
2016,5700,NEW YORK,Private,Middle Atlantic,1936,1,5,2.107089861,.,.,6822875,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32660,58027,1714,26997,79389,248039,.,.,2910931,276,135,86,411,497,.,.,.,.,30812232,.,19303907,5885161,1432272,26621340,7454820,64888392,38823,8890,12796,7691,660,108,4311,.,.,.,.,.,.,.,.,.,5945478,5548777000,2390683,11895000,17751584,1165648,7987160,37.2,11934435,5880845,269379
2016,5800,NORTH CAROLINA,State,South Atlantic,1932,1,25,0.530295911,.,.,9197350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40216,20370,1502,33001,67253,376867,.,.,2929190,140,168,77,308,385,.,.,.,.,16703881,.,9612670,7570546,1534963,18718179,4388105,39810165,24070,5014,6425,4244,1261,74,1482,.,.,.,.,.,.,.,.,.,5430874,2906210260,1616105,4707603,11799137,197141,5313107,22.74,4863101,12231545,1093106
2016,5850,NORTH CAROLINA STATE,State,South Atlantic,1983,1,34,0.132453525,.,.,5168692,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20060,28210,741,21886,36215,98245,.,.,2331031,136,81,46,217,263,.,.,.,.,11859057,.,8940867,3365068,1046784,13352719,8289002,33500778,26767,7248,5258,3630,617,63,1807,.,.,.,.,.,.,.,.,.,2851654,1419281421,1003924,2105904,8489252,1263901,3690379,33,3612411,7038596,1199001
2016,5900,NORTHWESTERN,Private,East North Central,1932,1,27,0.413283198,.,.,6497963,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52421,46903,715,10258,16200,123374,.,.,1495300,145,128,128,273,401,.,.,.,.,16659280,.,9991555,5455053,587063,16033671,4549180,37242131,15691,3803,7444,3268,523,70,1298,.,.,.,.,.,.,.,.,.,5919159,2166154000,1602215,4709965,11483763,465552,4146208,27.2,5036228,3729451,0
2016,6000,NOTRE DAME,Private,East North Central,1962,1,48,-0.138564752,.,.,5208207,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42403,29554,275,2984,19439,118509,.,.,1045476,114,102,23,216,239,.,.,.,.,13312469,.,7333691,3849200,398216,11581107,2731291,27624867,12122,170,3672,158,388,47,1126,.,.,.,.,.,.,.,.,.,4337098,1109511000,1365993,4948028,8104053,260388,4057881,27.1,.,.,.
